"trade_year","from_iso3","to_iso3","sector","trade_value"
2005,"USA","NLD","Financial Services",319223579
2005,"DEU","IRL","Wholesale Trade",12780083.3333333
2005,"RUS","BHR","Water Transport",20595.8333333333
2005,"RoW","SVN","Financial Services",2996438
2005,"HRV","ITA","Public Services",2359400
2005,"HUN","POL","Inland Transport",46773334.5
2005,"FRA","SWE","Wholesale Trade",17814256.5
2005,"RUS","SLV","Vehicle Trade",82233.3333333333
2005,"BGR","HUN","Inland Transport",11797393.6666667
2005,"USA","EST","Utilities",5142902.16666667
2005,"ROU","ARG","Air Transport",54266.1666666667
2005,"SRB","GIB","Financial Services",10000
2005,"POL","NZL","Air Transport",734166
2005,"CHL","BGR","Water Transport",10027.5
2005,"ITA","PRT","Communications",13696317
2005,"SRB","ZWE","Education",10000
2005,"ISR","GAB","Other Services",2500000
2005,"PRT","CZE","Retail Trade",1924091
2005,"RoW","TUR","Business Services",591223760.5
2005,"FIN","KGZ","Vehicle Trade",316507.833333333
2005,"FRA","LTU","Financial Services",113251
2005,"CYP","NZL","Hospitality",244197
2005,"GRC","POL","Inland Transport",7332817.5
2005,"KOR","GBR","Other Services",268450000
2005,"AUS","CYP","Retail Trade",245377
2005,"SVK","AUT","Utilities",46598150
2005,"TUR","NOR","Hospitality",368527663
2005,"BGR","AUT","Real Estate",589850
2005,"MLT","ITA","Air Transport",82972233.3333333
2005,"CHN","GRC","Public Services",1415640
2005,"ROU","EST","Wholesale Trade",54856
2005,"SWE","RoW","Inland Transport",178334661
2005,"AZE","AUT","Utilities",337666.666666667
2005,"DEU","SWE","Business Services",1460071631.5
2005,"FRA","IRL","Business Services",1273486150
2005,"JPN","SVK","Hospitality",824610
2005,"GUY","RoW","Vehicle Trade",1268333.33333333
2005,"CHN","HUN","Public Services",4537126
2005,"SAU","USA","Vehicle Trade",25333333.3333333
2005,"URY","CYP","Utilities",10224
2005,"ISR","BGR","Wholesale Trade",633302.333333333
2005,"SRB","SVN","Public Services",101000
2005,"ZAF","ROU","Retail Trade",325597
2005,"BEL","LUX","Education",2359400
2005,"AUS","FRA","Other Services",76090650
2005,"HKG","SRB","Business Services",556000
2005,"ITA","ROU","Other Services",41702394.5
2005,"RUS","JOR","Retail Trade",309202
2005,"SWE","JPN","Air Transport",229058810.666667
2005,"RUS","DMA","Inland Transport",319451.666666667
2005,"TUR","AUT","Business Services",38340250
2005,"LVA","FIN","Business Services",14401776.5
2005,"SGP","CZE","Inland Transport",11881743.6666667
2005,"RoW","NAM","Education",3624915
2005,"ITA","RoW","Air Transport",12936000350
2005,"BGR","AUS","Transport Services",2290978
2005,"IND","BGR","Education",60165
2005,"RUS","YEM","Real Estate",200000
2005,"ROU","ZAF","Business Services",813992.5
2005,"NLD","MYS","Public Services",11300346
2005,"NOR","EST","Health",5899
2005,"COM","RoW","Hospitality",23609647
2005,"HUN","PRT","Vehicle Trade",810060.666666667
2005,"FIN","CZE","Financial Services",4419155
2005,"CRI","RoW","Business Services",843957370
2005,"NZL","LTU","Inland Transport",22217.3333333333
2005,"POL","IRL","Retail Trade",174476451
2005,"KGZ","AUT","Financial Services",4581
2005,"POL","FRA","Vehicle Trade",47974466.6666667
2005,"EST","CYP","Utilities",23790.6666666667
2005,"LUX","BEL","Financial Services",1900496700
2005,"RoW","NLD","Transport Services",169816635
2005,"USA","SVN","Transport Services",15713604
2005,"FRA","USA","Water Transport",2537207933.33333
2005,"SDN","RUS","Other Services",214224.5
2005,"CYP","CHE","Hospitality",184032
2005,"BGR","SRB","Utilities",74333.3333333333
2005,"HUN","ESP","Air Transport",42891139.3333333
2005,"SWE","ITA","Communications",59896908
2005,"USA","ESP","Hospitality",1859207200
2005,"THA","FRA","Other Services",12976700
2005,"CAN","NIC","Hospitality",825244
2005,"LVA","DNK","Communications",2215476
2005,"USA","RoW","Wholesale Trade",3398000000
2005,"SVK","SRB","Real Estate",953500
2005,"POL","CHE","Air Transport",635268.5
2005,"LTU","RoW","Retail Trade",637351801
2005,"ZAF","RUS","Inland Transport",821448.5
2005,"RoW","SLV","Retail Trade",138100000
2005,"VEN","SWE","Inland Transport",402474.333333333
2005,"KGZ","ITA","Inland Transport",2574.5
2005,"IRL","DEU","Vehicle Trade",62917333.3333333
2005,"LTU","EST","Real Estate",2036752
2005,"SRB","ZMB","Utilities",2833.33333333333
2005,"SYR","SRB","Hospitality",102000
2005,"GRC","ROU","Construction",16941672
2005,"GBR","SRB","Business Services",91632500
2005,"MLT","SVK","Other Services",199369.5
2005,"EST","NZL","Other Services",23004
2005,"BGR","ROU","Hospitality",26064292
2005,"DNK","FRA","Water Transport",311834033.333333
2005,"SRB","MDA","Vehicle Trade",1166.66666666667
2005,"CZE","PRT","Education",1834434
2005,"MYS","KGZ","Vehicle Trade",40124.8333333333
2005,"CAN","VEN","Hospitality",28883528
2005,"GRC","ESP","Air Transport",26562911.6666667
2005,"GBR","RoW","Inland Transport",9176402033.16667
2005,"SVK","IRL","Public Services",979152
2005,"ROU","RoW","Utilities",13520738.5
2005,"TTO","SRB","Hospitality",9000
2005,"BEL","FIN","Utilities",23450469.8333333
2005,"DNK","PHL","Wholesale Trade",5408924.5
2005,"ARG","HUN","Inland Transport",22807.1666666667
2005,"ESP","BEL","Real Estate",13566550
2005,"JPN","ZAF","Communications",163978
2005,"CYP","DNK","Utilities",7625384.16666667
2005,"SGP","AUS","Vehicle Trade",362813265.333333
2005,"HUN","ROU","Construction",5865469
2005,"CHE","CZE","Communications",125048
2005,"HKG","LUX","Wholesale Trade",1651580
2005,"RoW","JOR","Vehicle Trade",223601242.833333
2005,"NLD","USA","Construction",58892983
2005,"RoW","SVK","Inland Transport",1152850027.33333
2005,"RoW","VNM","Communications",62000000
2005,"KOR","NLD","Construction",57663736
2005,"RoW","GBR","Real Estate",4625293439
2005,"LVA","CZE","Health",5899
2005,"RoW","AZE","Inland Transport",63148666.6666667
2005,"EGY","SWE","Wholesale Trade",2520625.66666667
2005,"KOR","RoW","Hospitality",1175100000
2005,"CZE","KGZ","Health",38226
2005,"JPN","LTU","Public Services",2165930
2005,"BRA","SVN","Water Transport",13173.1666666667
2005,"KOR","ESP","Wholesale Trade",29050000
2005,"JPN","SRB","Water Transport",9166.66666666667
2005,"GRC","PRT","Vehicle Trade",1964200.5
2005,"CZE","USA","Air Transport",124419026.833333
2005,"FRA","NGA","Financial Services",8257900
2005,"CHL","SVK","Air Transport",5112
2005,"AUT","RUS","Air Transport",50729391.6666667
2005,"EST","KGZ","Vehicle Trade",158223.166666667
2005,"IRL","POL","Inland Transport",8065804.5
2005,"KGZ","AUS","Health",123
2005,"RUS","SCG","Transport Services",10776519
2005,"SRB","HRV","Other Services",9165000
2005,"SRB","SVK","Construction",184000
2005,"LTU","VEN","Transport Services",1157286
2005,"BEL","MYS","Utilities",196616.666666667
2005,"UGA","RoW","Communications",35712230
2005,"SVK","DEU","Transport Services",770344100
2005,"KOR","SAU","Water Transport",20083333.3333333
2005,"MAR","RUS","Utilities",378021.166666667
2005,"GBR","ROU","Education",4235123
2005,"AUS","KGZ","Air Transport",231865
2005,"FRA","RoW","Transport Services",430590500
2005,"SWE","DNK","Vehicle Trade",209708977.333333
2005,"LVA","ITA","Vehicle Trade",2949250
2005,"DNK","PRT","Hospitality",17532702
2005,"LBN","SRB","Vehicle Trade",90833.3333333333
2005,"ZAF","BGR","Vehicle Trade",100471.166666667
2005,"AUS","DEU","Public Services",11797000
2005,"TUN","KGZ","Water Transport",16.8333333333333
2005,"ERI","RUS","Inland Transport",650
2005,"DNK","EGY","Water Transport",131583148
2005,"RoW","SWE","Financial Services",188350904
2005,"KHM","RoW","Communications",42718964
2005,"DNK","SGP","Utilities",79630339.8333333
2005,"FRA","SVN","Wholesale Trade",3861354.66666667
2005,"RoW","ITA","Education",954377300
2005,"DNK","IDN","Business Services",9260055.5
2005,"RoW","FIN","Other Services",202371636.5
2005,"SVK","CAN","Vehicle Trade",142547.166666667
2005,"GBR","TUR","Health",1724721
2005,"URY","CZE","Financial Services",10618
2005,"NLD","POL","Communications",21993147
2005,"RoW","DEU","Financial Services",13534698100
2005,"CZE","SGP","Business Services",3022392.5
2005,"NLD","HRV","Financial Services",1913474
2005,"CZE","IDN","Utilities",368263
2005,"BRA","BEL","Inland Transport",7471433.33333333
2005,"SRB","KOR","Health",7000
2005,"AUS","ISR","Other Services",11500000
2005,"BEL","NLD","Air Transport",214225262.333333
2005,"ITA","NGA","Utilities",6684966.66666667
2005,"IDN","SRB","Wholesale Trade",1000
2005,"DEU","NOR","Retail Trade",247355957
2005,"SVK","NOR","Education",213526
2005,"CYP","LVA","Inland Transport",322451.5
2005,"NLD","COL","Inland Transport",15118445.3333333
2005,"RUS","THA","Real Estate",244822.5
2005,"NLD","FIN","Public Services",5237868
2005,"SRB","JPN","Vehicle Trade",7333.33333333333
2005,"TUR","KOR","Vehicle Trade",12716666.6666667
2005,"BEL","ROU","Wholesale Trade",4126787.16666667
2005,"BRA","USA","Wholesale Trade",97666666.6666667
2005,"NOR","RoW","Vehicle Trade",59850113.3333333
2005,"CYP","MEX","Financial Services",41290
2005,"ESP","NLD","Hospitality",2285133166
2005,"ITA","DEU","Communications",507271000
2005,"RoW","LTU","Wholesale Trade",1339352.83333333
2005,"MYS","CYP","Utilities",279588.833333333
2005,"FIN","ESP","Public Services",424692
2005,"DNK","EST","Retail Trade",18530728
2005,"MDA","AZE","Hospitality",12000
2005,"SVN","LUX","Air Transport",435702.333333333
2005,"KGZ","AZE","Education",4731
2005,"LTU","BLR","Business Services",3209000
2005,"ZAF","SWE","Real Estate",1970099
2005,"BLR","SVK","Real Estate",15336
2005,"CYP","JPN","Retail Trade",11840649
2005,"KOR","IDN","Public Services",8100000
2005,"RUS","TUN","Wholesale Trade",572465.833333333
2005,"DEU","SVN","Business Services",95107414
2005,"CYP","RUS","Financial Services",19362990
2005,"DEU","POL","Air Transport",476414374.833333
2005,"BEL","IND","Water Transport",4718800
2005,"BLR","GBR","Inland Transport",12879000
2005,"VEN","RUS","Real Estate",66880.5
2005,"RoW","PHL","Construction",14000000
2005,"ISL","BGR","Wholesale Trade",10027.5
2005,"POL","EGY","Vehicle Trade",244394.5
2005,"RoW","WSM","Financial Services",1914000
2005,"DNK","RoW","Real Estate",92215969.5
2005,"SRB","SWE","Public Services",232000
2005,"CYP","ESP","Water Transport",10286786.5
2005,"IND","EST","Inland Transport",177741.5
2005,"GBR","GRC","Construction",24325414
2005,"ARG","GBR","Wholesale Trade",4312983.16666667
2005,"LTU","SGP","Air Transport",86511.3333333333
2005,"FRA","URY","Air Transport",13959783.3333333
2005,"ISR","PRK","Retail Trade",3000000
2005,"RoW","NLD","Communications",6054829125
2005,"ROU","MYS","Other Services",162798.5
2005,"KAZ","RUS","Retail Trade",45121778
2005,"CRI","RUS","Communications",15000
2005,"HUN","SRB","Transport Services",733000
2005,"SWE","ZAF","Construction",6353864
2005,"GRC","GBR","Financial Services",124942027
2005,"RoW","AIA","Water Transport",15714798.8333333
2005,"KGZ","TKM","Public Services",2059
2005,"LTU","AUS","Communications",61344
2005,"RUS","MDG","Communications",586024
2005,"CAN","EGY","Public Services",4951462
2005,"USA","PRT","Communications",14852423
2005,"CYP","FRA","Communications",6169831
2005,"CHL","SWE","Water Transport",61174523.3333333
2005,"GIN","RoW","Air Transport",7875000
2005,"BRA","ITA","Other Services",33031600
2005,"FIN","ITA","Transport Services",25953400
2005,"RUS","SLV","Real Estate",582.5
2005,"AUT","HKG","Water Transport",71371850
2005,"GBR","POL","Hospitality",1200225601
2005,"BEL","FRA","Business Services",1878082400
2005,"USA","ROU","Other Services",86338115
2005,"RUS","KWT","Wholesale Trade",22978.8333333333
2005,"MSR","RoW","Hospitality",8982903
2005,"KGZ","CHN","Air Transport",2962654.83333333
2005,"ITA","SGP","Retail Trade",34211300
2005,"ARG","RoW","Construction",45700000
2005,"HUN","AUS","Utilities",565076.333333333
2005,"SGP","AUT","Transport Services",1179700
2005,"SVN","IRL","Hospitality",22298690
2005,"MYS","SVK","Utilities",193470.833333333
2005,"ARE","KGZ","Transport Services",1774390
2005,"SVK","IND","Inland Transport",30475.6666666667
2005,"DNK","NGA","Retail Trade",8865446
2005,"ISR","SWE","Wholesale Trade",296498
2005,"GBR","HUN","Construction",3818689
2005,"SRB","IRL","Communications",290000
2005,"PHL","SWE","Inland Transport",445534.166666667
2005,"ISL","SVN","Wholesale Trade",8257.83333333333
2005,"DEU","BGR","Business Services",95121571.5
2005,"RUS","KNA","Vehicle Trade",2954403.83333333
2005,"CZE","FIN","Water Transport",30686749.6666667
2005,"PHL","KOR","Other Services",57200000
2005,"RoW","AUT","Wholesale Trade",1371401250
2005,"RUS","GBR","Retail Trade",575604085
2005,"FIN","NOR","Financial Services",12961364
2005,"ZAF","SRB","Communications",6000
2005,"PAK","KGZ","Transport Services",363744
2005,"PRT","ESP","Inland Transport",98518713.1666667
2005,"SVN","THA","Business Services",50137
2005,"AUT","DEU","Business Services",4586673600
2005,"RUS","ETH","Business Services",5260490
2005,"ISR","LTU","Financial Services",47188
2005,"AUT","BRA","Utilities",393233.333333333
2005,"BMU","SRB","Utilities",17833.3333333333
2005,"NGA","RoW","Retail Trade",9030000
2005,"BGR","ESP","Other Services",4644479.5
2005,"GRC","AUS","Utilities",1017709
2005,"SRB","BHS","Business Services",221000
2005,"FIN","ROU","Water Transport",814189.166666667
2005,"PRK","USA","Other Services",45000000
2005,"RUS","BRN","Business Services",8773.5
2005,"HRV","SWE","Hospitality",476769858
2005,"IDN","BEL","Retail Trade",9437600
2005,"DEU","ISL","Transport Services",8257900
2005,"ZAF","SVN","Vehicle Trade",8061.33333333333
2005,"MLT","EST","Water Transport",856069.166666667
2005,"SWE","TUR","Retail Trade",163949988
2005,"SLV","RoW","Utilities",57440000
2005,"HKG","JPN","Wholesale Trade",517905405.666667
2005,"EST","HUN","Health",8258
2005,"FRA","FIN","Air Transport",86373701.6666667
2005,"SYC","RoW","Financial Services",7203640
2005,"MLT","BEL","Education",101454
2005,"CZE","URY","Water Transport",8847.83333333333
2005,"SRB","CYP","Construction",25540000
2005,"FIN","KGZ","Real Estate",230457.5
2005,"ITA","NLD","Financial Services",108532400
2005,"ISR","IRL","Business Services",39902650
2005,"CUB","KGZ","Financial Services",37218
2005,"CAF","KGZ","Retail Trade",76990
2005,"CHL","CYP","Air Transport",57215.6666666667
2005,"GRC","SRB","Transport Services",506000
2005,"FRA","BGR","Wholesale Trade",4212118.83333333
2005,"HUN","GBR","Financial Services",25658475
2005,"EST","GRC","Health",7078
2005,"ITA","EST","Utilities",3008038.33333333
2005,"DNK","VEN","Other Services",4827922
2005,"CRI","KGZ","Wholesale Trade",48.1666666666667
2005,"ISR","RWA","Business Services",11000000
2005,"HRV","MLT","Vehicle Trade",371998.666666667
2005,"LVA","FRA","Utilities",4915416.66666667
2005,"CYP","ROU","Public Services",651194
2005,"BGR","AUT","Vehicle Trade",6488350
2005,"JPN","ITA","Construction",44828600
2005,"CHN","BEL","Transport Services",4718800
2005,"GEO","RoW","Health",199085
2005,"RoW","ZWE","Hospitality",27000000
2005,"NLD","DNK","Wholesale Trade",78522208.3333333
2005,"RUS","MYS","Communications",331288
2005,"RoW","CAN","Health",283058573
2005,"ROU","NLD","Transport Services",90572648
2005,"HRV","CAN","Air Transport",292172.833333333
2005,"TKM","KGZ","Financial Services",69316
2005,"RoW","CYP","Inland Transport",174804603.5
2005,"CZE","IND","Utilities",1307697.5
2005,"SVK","SWE","Communications",6384536
2005,"IND","KOR","Air Transport",9066666.66666667
2005,"KOR","PHL","Communications",800000
2005,"SWZ","ISR","Other Services",1500000
2005,"SRB","VGB","Water Transport",44333.3333333333
2005,"ANT","RUS","Utilities",3529.16666666667
2005,"CAN","ROU","Communications",651194
2005,"HUN","HKG","Financial Services",86118
2005,"DNK","IND","Business Services",25487417.5
2005,"LUX","AUT","Other Services",20054900
2005,"UGA","RUS","Business Services",3260
2005,"SVK","CZE","Education",4685768
2005,"DEU","HUN","Other Services",694995481.5
2005,"RUS","DNK","Business Services",30000392
2005,"PRT","IRL","Wholesale Trade",12780083.3333333
2005,"FRA","MYS","Air Transport",106959466.666667
2005,"KGZ","BEL","Other Services",36645
2005,"MEX","POL","Public Services",1172622
2005,"GRC","HUN","Education",432950
2005,"LUX","PRT","Air Transport",707820
2005,"CZE","GRC","Vehicle Trade",1753820.66666667
2005,"ROU","URY","Other Services",162798.5
2005,"DEU","GRC","Other Services",148931226.5
2005,"VGB","ISR","Other Services",3500000
2005,"DNK","ESP","Communications",16780053
2005,"FRA","NLD","Utilities",82697363.1666667
2005,"RUS","HKG","Retail Trade",7719757
2005,"GBR","KOR","Utilities",169300000
2005,"HUN","DEU","Real Estate",2359400
2005,"CZE","HUN","Vehicle Trade",7361328
2005,"FRA","EST","Financial Services",87298
2005,"AUT","CZE","Construction",19020303
2005,"LUX","ESP","Vehicle Trade",6055793.33333333
2005,"IDN","KGZ","Inland Transport",6637.5
2005,"KWT","SRB","Public Services",268000
2005,"RoW","LBY","Other Services",25000000
2005,"BRA","BGR","Water Transport",110498.833333333
2005,"RUS","LBY","Transport Services",381194
2005,"CAN","AUT","Air Transport",20054900
2005,"KHM","RUS","Business Services",6363
2005,"SRB","TUR","Utilities",25166.6666666667
2005,"RUS","FIN","Communications",28848893
2005,"NZL","CZE","Communications",61344
2005,"JPN","DNK","Other Services",44406267.5
2005,"BGR","KOR","Business Services",934321.5
2005,"ROU","LTU","Wholesale Trade",63703.8333333333
2005,"BEL","EGY","Business Services",18875200
2005,"PRT","SWE","Business Services",14169968
2005,"ROU","FIN","Other Services",1302978.5
2005,"ROU","SWE","Financial Services",453005
2005,"BEL","RoW","Other Services",613444000
2005,"AUT","GBR","Water Transport",155556421.666667
2005,"BEL","IDN","Water Transport",4325566.66666667
2005,"HUN","GRC","Education",1627986
2005,"CHE","LTU","Inland Transport",26346
2005,"ITA","NZL","Water Transport",1179700
2005,"NLD","CHL","Other Services",19406065
2005,"IND","SVN","Education",5898
2005,"GRC","DEU","Real Estate",1769550
2005,"BGR","MLT","Retail Trade",2594160
2005,"LTU","USA","Business Services",14834726.5
2005,"HRV","AUT","Retail Trade",134102398
2005,"USA","BGR","Transport Services",17973910
2005,"BEL","RoW","Financial Services",4794300800
2005,"MEX","DNK","Business Services",8073278.5
2005,"BRN","RoW","Vehicle Trade",52179000
2005,"MLT","CYP","Other Services",70782
2005,"CYP","LUX","Retail Trade",4355453
2005,"USA","LTU","Utilities",2660420.16666667
2005,"SVN","JPN","Air Transport",583950.833333333
2005,"KOR","IND","Public Services",300000
2005,"ITA","SWE","Transport Services",29358015
2005,"UKR","SVK","Public Services",1863926
2005,"RUS","POL","Public Services",9383334
2005,"TUR","NLD","Public Services",37092127
2005,"RUS","URY","Communications",22615
2005,"CHN","HRV","Business Services",1514145.5
2005,"ETH","RoW","Vehicle Trade",77607300.6666667
2005,"DNK","AUT","Construction",1179700
2005,"KGZ","DEU","Wholesale Trade",673030.666666667
2005,"THA","SVK","Retail Trade",1039316
2005,"DEU","CZE","Retail Trade",1090000331
2005,"GRC","HKG","Financial Services",1297670
2005,"ARG","CAN","Utilities",687703
2005,"IRL","RoW","Hospitality",13520541700
2005,"POL","ITA","Utilities",45615066.6666667
2005,"CAN","FRA","Public Services",15336100
2005,"PHL","RUS","Real Estate",133670.5
2005,"RUS","LBR","Financial Services",929956
2005,"EST","SVK","Utilities",56035.8333333333
2005,"POL","ISR","Real Estate",500000
2005,"VCT","RoW","Financial Services",4616958
2005,"MLT","FRA","Retail Trade",17695500
2005,"KGZ","GRD","Hospitality",295
2005,"BGR","POL","Education",241839
2005,"SRB","LUX","Vehicle Trade",8833.33333333333
2005,"LVA","POL","Wholesale Trade",3421130
2005,"RoW","THA","Retail Trade",4587214900
2005,"CZE","MYS","Water Transport",1737501.83333333
2005,"SVN","RoW","Inland Transport",34928361
2005,"RWA","RoW","Hospitality",48760000
2005,"SVN","ITA","Communications",4854466
2005,"DJI","RoW","Wholesale Trade",12490000
2005,"BGR","CAN","Utilities",361971.333333333
2005,"EST","ROU","Water Transport",776242.333333333
2005,"ESP","GBR","Air Transport",7207647694.33333
2005,"LKA","KGZ","Air Transport",150638.333333333
2005,"SVK","UKR","Other Services",3102611
2005,"USA","DEU","Communications",2092787800
2005,"JOR","RUS","Water Transport",100698.666666667
2005,"CHL","SVN","Water Transport",786.5
2005,"AZE","ARE","Hospitality",1629000
2005,"RUS","KHM","Water Transport",1007905.5
2005,"KAZ","RoW","Education",24667
2005,"MNG","RUS","Construction",2236427
2005,"BGR","HKG","Wholesale Trade",30082.3333333333
2005,"POL","RoW","Water Transport",2586906128
2005,"JPN","CYP","Hospitality",3211143
2005,"EST","NOR","Financial Services",442388
2005,"SRB","AUS","Water Transport",1071884.33333333
2005,"IDN","JPN","Business Services",258383792.5
2005,"JPN","EST","Public Services",813994
2005,"FIN","HUN","Health",109712
2005,"SRB","ITA","Hospitality",3396000
2005,"RUS","UGA","Water Transport",4050
2005,"RoW","BEL","Air Transport",8172568366.66667
2005,"MEX","BEL","Utilities",983083.333333333
2005,"SRB","BGR","Public Services",26000
2005,"ISR","SVN","Wholesale Trade",151001.666666667
2005,"SWZ","RoW","Business Services",5136350.5
2005,"PHL","SVN","Inland Transport",786.5
2005,"LKA","ISR","Other Services",500000
2005,"CIV","RUS","Business Services",12803
2005,"ISL","SWE","Wholesale Trade",148249
2005,"LVA","ISR","Utilities",282341.5
2005,"EST","KGZ","Real Estate",17593
2005,"BLR","POL","Financial Services",62000
2005,"DEU","ZAF","Financial Services",101454200
2005,"LVA","ITA","Real Estate",3539100
2005,"RoW","SYC","Financial Services",40527280
2005,"IDN","AUS","Financial Services",3053127
2005,"JPN","BRA","Wholesale Trade",37441515.1666667
2005,"AUT","TUR","Financial Services",7078200
2005,"LTU","IRL","Water Transport",954377.333333333
2005,"CYM","RUS","Retail Trade",1238048
2005,"AUS","SVK","Retail Trade",305542
2005,"IRL","SRB","Transport Services",10000
2005,"EST","IND","Wholesale Trade",11207.1666666667
2005,"KGZ","PHL","Hospitality",55538
2005,"RUS","UKR","Financial Services",47755666
2005,"KGZ","KOR","Water Transport",5047.83333333333
2005,"SWE","DNK","Real Estate",42506360.5
2005,"RUS","UZB","Construction",13388115
